Partlist exported from /home/alexios/eagle/CFT/cft-processor.sch at 14 Aug 2012 00:20:20

Qty Value          Device           Parts                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Order Code                                                                                                                         Description Override                                            Notes                                                                                  
18                 1,6/0,8          PAD1, PAD2, PAD3, PAD4, PAD5, PAD6, PAD7, PAD8, PAD9, PAD10, PAD11, PAD12, PAD13, PAD14, PAD15, PAD16, PAD17, PAD18                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Ignore                                                                                                                                                                                                                                                                                    
5                  FE06-1           P2, P4, P5, P6, P7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   6x1 2.54mm female wirewrap header                               Or other stackable                                                                     
2                  FE08-1           P1, P3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               8x1 2.54mm female wirewrap header                               Or other stackable                                                                     
1                  JP5Q             JP2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
1                  MA04-2           SV1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
1                  MA06-1           JP29                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
3                  PINHD-1X2        JP1, JP28, JP31                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1                  PINHD-1X3        JP32                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
2                  PINHD-1X5        JP34, JP35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
2                  PINHD-1X8        JP26, JP27                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
